School,ChapterName,PlaceName,ContactURL,FacebookWebsite,Longitude,Latitude,LogoHold,preview,blurbs,LogoHold,PhotoHold,Photo,sequence,photoPreview,CountryForSort,RegionForSort
Universidad Nacional Autónoma de Honduras,PumaGis Hn,"Tegucigalpa M.D.C., HONDURAS",mailto:pumagishn@gmail.com,,-87.165981,14.085109,https://dl.dropbox.com/s/89k6ovssm41snyi/PUMAGIS_UnivHonduras.jpg?dl=0,,,https://www.dropbox.com/s/89k6ovssm41snyi/PUMAGIS_UnivHonduras.jpg?dl=0,https://www.dropbox.com/s/0jkjgka6jd8ubis/PumaGishn_group_Photo-sm.jpg?dl=0,https://dl.dropbox.com/s/0jkjgka6jd8ubis/PumaGishn_group_Photo-sm.jpg?dl=0,,,HN,2-Central America
"University of the West Indies, Mona Campus",Libraries Outreach - ODL,"Mona, JAMAICA",mailto:benjamin.branch@uwimona.edu.jm,,-76.74601,18.006365,,,"The UWI, Mona Campus Library engages in public, outreach and special projects. This will allow our library the means to be a catalyst for spatial literacy and advocate for spatial data sharing and access to Jamaican and Caribbean interests. We have disaster relief and communication needs and   extensive earth science and geo-hazards needs to better serve our campus and community. Specifically, we hace a Science Library to showcase such to all faculty and students.",,,,,,JAM,2-Central America
Universidad Nacional de Ingenieria,Yeka Street MGA,"Managua, NICARAGUA",mailto:yeka.street.mga@gmail.com?subject=YouthMappers%20YEKA%20STREET%20MGA,https://www.facebook.com/yekastreetmga/,-86.270506,12.13165,https://dl.dropbox.com/s/g8wg8lhybpa8lq9/nicaragua.jpg?dl=0,,"YEKA STREET is a work team constituted by students from Universidad Nacional de Ingenieria at Managua, Nicaragua. With the principal purpose of apply our knowledge and skills using many tools and apps to map areas in our cities and contribute to the development community projects and disasters relieve plans. We want to lead the way adding more students from all careers and universities in our country to join us at this cause, increasing in this way the life level and reducing the population vulnerability.",https://www.dropbox.com/s/g8wg8lhybpa8lq9/nicaragua.jpg?dl=0,,https://dl.dropbox.com/s/7jlm6anllm9q5p6/universidad%20nacional%20ingenier%20nicaragua.jpg?dl=0,34,,NIC,2-Central America
University of Panama,YouthMappers UP,"Panama City, PANAMA",mailto:Youthmappers.up@gmail.com,,-79.54101563,9.015302333,https://dl.dropbox.com/s/he7ykpxecw8ot6k/Universidad_Panama.jpg?dl=0,,"Student mappers in Panama work with open spatial data to help identify, define, address, and create meaning about locally defined development challenges. They collaborate with students from other countries on community mapping topics from ecotourism to food security, from biodiversity to indigenous issues, promoting a humanistic vision through scientific perspectives.",https://www.dropbox.com/s/he7ykpxecw8ot6k/Universidad_Panama.jpg?dl=0,https://www.dropbox.com/s/8cdy2dgbhjm3x8z/univ-panama-6dd283_25464d1e5c5f45f582f3fc94789de5ba.png?dl=0,https://dl.dropbox.com/s/8cdy2dgbhjm3x8z/univ-panama-6dd283_25464d1e5c5f45f582f3fc94789de5ba.png?dl=0,11.1,,PAN,2-Central America
Universidad de Puerto Rico - Rio Piedras,UPR YouthMappers,"San Juan, PUERTO RICO",mailto:carlosguilbe@gmail.com,,-66.049783,18.40284,,,,,,,,,PAN,2-Central America
Universidade Federal da Bahia,YouthMappers at UFBA,"Salvador da Bahia, BRASIL",mailto:igst.ufba@gmail.com,,-38.510021,-13.003583,,,,,,,,,BRA,3-South America
Federal University of Parana (UFPR),Mapeadores Livres UFPR,"Curitiba, BRAZIL",mailto:mapeadoreslivres@ufpr.br,,-49.2617658,-25.4269081,,,,,,,,,BRZ,3-South America
Universidad Nacional de Colombia,Grupo UN,"Bogota, COLOMBIA",mailto:raknudsono@unal.edu.co?subject=Youth%20Mappers%20y%20Grupo%20UN%20Colombia,,-74.09179688,4.653079918,https://dl.dropbox.com/s/lz8x6cxg20bd6mj/Escudo_Universidad_Nacional_de_Colombia.svg.jpg?dl=0,,Students are uniting to map and network with university students across the country of Colombia and across the globe.  Geographic specialties include affiliation with microbiology and health disciplines.,https://www.dropbox.com/s/lz8x6cxg20bd6mj/Escudo_Universidad_Nacional_de_Colombia.svg.jpg?dl=0,https://www.dropbox.com/s/ey03ac2ksly342x/UnivNacionalColombia.png?dl=0,https://dl.dropbox.com/s/ey03ac2ksly342x/UnivNacionalColombia.png?dl=0,15,,COL,3-South America
Universidad de Los Andes,Cartografos Uniandes,"Bogota, COLOMBIA",mailto:geografia@uniandes.edu.co?subject=Youth%20Mappers%20Chapter%20y%20la%20Universidad%20de%20los%20Andes,,-74.09179688,4.565473551,https://dl.dropbox.com/s/6so6p9y5xmhdekn/University_of_Los_Andes_logo.svg.jpg?dl=0,,"We are a circle of student participation that seeks to use mapping and spatial reasoning as a means to create bonds of cooperation and integration between the university and society by addressing different spatial, social, political , economic and cultural dynamics. ",https://www.dropbox.com/s/6so6p9y5xmhdekn/University_of_Los_Andes_logo.svg.jpg?dl=0,https://www.dropbox.com/s/8zy0kaobgwmfz2h/Universidad%20de%20los%20Andes_Colombia.png?dl=0,https://dl.dropbox.com/s/8zy0kaobgwmfz2h/Universidad%20de%20los%20Andes_Colombia.png?dl=0,17,,COL,3-South America
Universidad Distrital Francisco Jose de Caldas,YouthMappers at Bogota,"Bogota, COLOMBIA",mailto:lrocha@selper.org.co,,-74.09179688,4.653079918,https://dl.dropbox.com/s/772ufqyixemeg4k/u-d-francisco-jose-de-caldas.jpg?dl=0,,"The Universidad Distrital Francisco José de Caldas is a public, coeducational, research university based in Bogotá, Colombia with a population of 26,140 students.",https://www.dropbox.com/s/772ufqyixemeg4k/u-d-francisco-jose-de-caldas.jpg?dl=0,,https://dl.dropbox.com/s/t33dfkodbggzxxp/univ%20francisco%20caldas.jpg?dl=0,35,,COL,3-South America
Universidad de San Buenaventura,YouthMappers San Buenaventura,"Medellin, COLOMBIA",mailto:ingenieria.sistemas@usbmed.edu.co?subject=YouthMappers%20y%20Universidad%20de%20San%20Buenaventura,https://www.facebook.com/groups/1742657446017065/,-75.5859375,6.22793393,https://dl.dropbox.com/s/h03yfuoa1kpesrk/Universidad_De_San_BuenaventuraMed.jpg?dl=0,,We are pleased to join YouthMappers mapping for a better world and community.,https://www.dropbox.com/s/h03yfuoa1kpesrk/Universidad_De_San_BuenaventuraMed.jpg?dl=0,https://www.dropbox.com/s/cmv0ym4hlu5p60l/UnivBuenaventura_Colombia.png?dl=0,https://dl.dropbox.com/s/cmv0ym4hlu5p60l/UnivBuenaventura_Colombia.png?dl=0,21,,COL,3-South America
Universidad de Antioquia,Geomatica UDEA,"Medellin, COLOMBIA",mailto:geomatica.ing.udea@gmail.com?subject=YouthMappers%20y%20Universidad%20de%20Antioquia,,-75.5859375,6.22793393,https://dl.dropbox.com/s/i3xvqyu369srxpp/u-de-antioquia.jpg?dl=0,,"We are a group interested in geospatial data, voluntary cartography, and participating in mapping with others in our country and within the YouthMappers network.",https://www.dropbox.com/s/i3xvqyu369srxpp/u-de-antioquia.jpg?dl=0,https://www.dropbox.com/s/xd66n433slljaws/UnivAntioqui_Colombia.png?dl=0,https://dl.dropbox.com/s/xd66n433slljaws/UnivAntioqui_Colombia.png?dl=0,22,,COL,3-South America
Universidad de La Guajira,Grupo Mesh,"Riohacha, COLOMBIA",mailto:zoviedo@uniguajira.edu.co?subject=Grupo%20Mesh%20y%20YouthMappers,,-72.86132813,11.52308751,https://dl.dropbox.com/s/r9ebtoxryofp7db/EscudoUniguajira.jpg?dl=0,,"Grupo Mesh is a student organization at the Universidad de la Guajira in Colombia, including students from the program of Environmental Engineering who learn cartography and open mapping.",https://www.dropbox.com/s/r9ebtoxryofp7db/EscudoUniguajira.jpg?dl=0,,https://dl.dropbox.com/s/4sg5v5teh2tto0w/UGuajira.jpg?dl=0,15.5,,COL,3-South America
Universidad Nacional de San Antonio Abad del Cusco,Qosqo Mappers Unsaac,"Cusco, PERU",mailto:qosqomappers.unsaac@gmail.com,,-71.9582,-13.5218,,,"Somos un grupo multidisciplinario de jóvenes que investiga temas de interés social utilizando tecnologías innovadoras, principalmente los mapas digitales; y planea soluciones en base a ello. Buscamos el desarrollo mediante proyectos de impacto positivo en la sociedad, para generar una base de datos útil para las diversas áreas de desarrollo público, además de incluir problemáticas en la agenda pública, actuando como agentes de cambio comprometidos.",,,,,,PER,3-South America
National School of Forestry and Wildlife Management,YouthMappers Cameroun,"Yaoundé, CAMEROON",mailto:mely@eurekageo.space,,11.5046167,3.4946914,,,,,,,,,CAM,4-West Africa
University of Douala,YouthMappers Douala,"Douala, CAMEROON",mailto:doualayouthmappers@gmail.com,,9.73450799,4.05555522,https://dl.dropbox.com/s/ef8q142lpa2x2c8/logo%20university%20of%20douala.png?dl=0,,,https://www.dropbox.com/s/ef8q142lpa2x2c8/logo%20university%20of%20douala.png?dl=0,https://www.dropbox.com/s/r2nak6bshcjwdsx/Douala%20YouthMappers%28resize%29.jpeg?dl=0,https://dl.dropbox.com/s/r2nak6bshcjwdsx/Douala%20YouthMappers%28resize%29.jpeg?dl=0,,,CAM,4-West Africa
Centre Universitaire de Recherche et d'Application en Télédétection (CURAT) de l'Université Felix Houphouet Boigny ,YouthMappers CURAT,"Abidjan, COTE D' IVOIRE",mailto:gpcome@gmail.com,,-3.987994,5.34402,https://dl.dropbox.com/s/wi0y5moa4y8gh85/CURAT.jpg?dl=0,,Our chapter aim is to promote the use of collaborative free mapping and the use of openstreetmap data in the field of research and their application in the implementation of tools for decision-making. Help students produce their own data of their research.,https://www.dropbox.com/s/wi0y5moa4y8gh85/CURAT.jpg?dl=0,https://www.dropbox.com/s/dhle7xkf38f9mmu/CURAT%20chapter%20photo.png?dl=0,https://dl.dropbox.com/s/dhle7xkf38f9mmu/CURAT%20chapter%20photo.png?dl=0,53,,CIV,4-West Africa
Université Alassane Ouattara,YouthMappers UAO,"Bouaké, COTE D'IVOIRE",mailto:YouthMappers.UAO@gmail.com,,-5.0667005,7.6864226,,,,,,,,,CIV,4-West Africa
The Gambia YMCA / University of the Gambia ,Connected YouthMappers ,"Kanifing South, GAMBIA",mailto:connectedyouthmappers@gmail.com,,-16.676298,13.457953,,,Connected YouthMappers is comprised of dedicated young Gambians who aspire to change and aid national development.,,https://www.dropbox.com/s/8u1g3wzcapvs431/YMCA_UnivTheGambia.png?dl=0,https://dl.dropbox.com/s/8u1g3wzcapvs431/YMCA_UnivTheGambia.png?dl=0,,,GAM,4-West Africa
University of Cape Coast,UCC YouthMappers,"Cape Coast, GHANA",mailto:geosoc_ucc@yahoo.com,https://www.facebook.com/Geographical-Society-Ucc-105157196204838/info/?tab=page_info,-1.23046875,5.090944175,https://dl.dropbox.com/s/l1zcn6a2lyiru05/ucc-university-cape-coast.jpg?dl=0,,We are a society that encompasses all students who are reading and read geography in the Department of Geography and Regional Planning at the University of Cape Coast. Our main aim is to promote interest in the discipline inside and outside of the classroom. Our motto is “We comprehend the Earth and its inhabitants.”,https://www.dropbox.com/s/l1zcn6a2lyiru05/ucc-university-cape-coast.jpg?dl=0,https://www.dropbox.com/s/009b3jpp02t3e72/ghana-cape-coast-6dd283_2ad38193a58345568f3886cc421c0370.jpg?dl=0,https://dl.dropbox.com/s/009b3jpp02t3e72/ghana-cape-coast-6dd283_2ad38193a58345568f3886cc421c0370.jpg?dl=0,5.5,,GHA,4-West Africa
Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology YouthMappers,"Kumasi, GHANA",mailto:knustyouthmappers@outlook.com,https://www.facebook.com/KNUSTMappers/,-1.56831,6.672371,,,"The purpose of KNUST YouthMappers shall be to grant students the opportunity to improve skills in the field of mapping and create open geographic data and analysis that address locally defined development challenges as well as global ones. Our vision is to cultivate a generation of young people to become leaders in creating resilient communities, and empowering them to define their world by mapping it. ",,https://www.dropbox.com/s/5or4tsqupkmxfp5/2019_KNUST.jpg?dl=0,https://dl.dropbox.com/s/5or4tsqupkmxfp5/2019_KNUST.jpg?dl=0,,,GHA,4-West Africa
University of Ghana,University of Ghana YouthMappers,"Legon, GHANA",mailto:mawulikaf@gmail.com,https://twitter.com/UGYouthMappers,-0.196236,5.651152,https://dl.dropbox.com/s/kumm290cucwy7pt/University_of_Ghana_%28UG%29_logo.jpg?dl=0,,"UG YouthMappers consists of both graduate and undergraduate students possessing knowledge and skills in GIS and Remote Sensing. The club is composed of an energetic team that is poised to address social issues and mitigate environmental problems through mapping. Our fundamental principles are capacity building, empowerment and teamwork.",https://www.dropbox.com/s/kumm290cucwy7pt/University_of_Ghana_%28UG%29_logo.jpg?dl=0,https://www.dropbox.com/s/ua961fsdqzdnx69/UofGhana%20YouthMappers.png?dl=0,https://dl.dropbox.com/s/ua961fsdqzdnx69/UofGhana%20YouthMappers.png?dl=0,52,,GHA,4-West Africa
University of Energy and Natural Resources,Eco-Club,"Sunyani, GHANA",mailto:james.agyei-ohemeng@uenr.edu.gh,,-2.343,7.350238,,,To provide a sound education to all citizens about the deteriorating environment and provide utmost use of recreation of the environment for human survival.,,,,,,GHA,4-West Africa
University of Mines and Technology,UMaT YouthMappers,"Tarkwa, GHANA",mailto:kwadzo459@gmail.com,http://umatyouthmappers.wordpress.com/,-2.00125,5.298805,https://dl.dropbox.com/s/gy6raheclpecl2e/University%20of%20Mines%20and%20Technology.jpg?dl=0,,UMaT YouthMappers is a group of volunteer students who seek to grant students the opportunity to improve skills in the field of mapping & creating open geographic data and analyses that address locally defined development challenges worldwide.,https://www.dropbox.com/s/gy6raheclpecl2e/University%20of%20Mines%20and%20Technology.jpg?dl=0,https://www.dropbox.com/s/qlglt3yx86fdjde/UMaT_Youthmapper_group.png?dl=0,https://dl.dropbox.com/s/qlglt3yx86fdjde/UMaT_Youthmapper_group.png?dl=0,54,,GHA,4-West Africa
University of Education Winneba,University of Education Winneba YouthMappers,"Winneba, GHANA",mailto:youthmappersuew@gmail.com,,-1.6843319,6.6997228,https://dl.dropbox.com/s/w3vmcygbsrxikon/UEWlogo%28resize%29.jpeg?dl=0,,,https://www.dropbox.com/s/w3vmcygbsrxikon/UEWlogo%28resize%29.jpeg?dl=0,https://www.dropbox.com/s/8wnho8snyr50tzv/UEWGroup%28resize%29.jpg?dl=0,https://dl.dropbox.com/s/8wnho8snyr50tzv/UEWGroup%28resize%29.jpg?dl=0,,,GHA,4-West Africa
University for Development Studies - Navrongo campus,UDS-Navrongo YouthMappers,"Navrongo, GHANA",mailto:infodes@uds.edu.gh,https://fb.me/udsnavrongoyouthmappers,-1.0776258,10.8663818,,,,,,,,,GHA,4-West Africa
Valley View University- Techiman,Advent Mappers,"Techiman, GHANA",mailto:adventmappers@gmail.com,,-1.9573685,7.5767826,,,,,,,,,GHA,4-West Africa
Ghana Schoolof Surveying and Mapping ,SURVEYSCHMAPPERS ,"Accra, GHANA",mailto:mapyouth5@gmail.com,,-0.1823,5.5906,,,Our aim is to help in gathering data through mapping of important features around us which will help humanity.,,,,,,GHA,4-West Africa
Ashesi University,Ashesi Wiki Club,"Berekuso, GHANA",mailto:ashesiyouthmappers@gmail.com,,-0.219804,5.75997,,,,,,,,,GHA,4-West Africa
General Lansana Conte University,YouthMappers General Lansana Conte University,"Conakry, GUINEA",mailto:condefa3@gmail.com,www.uglc.org,-13.62304688,9.709057069,https://dl.dropbox.com/s/lzni56jmexz4lc5/UGLC_SC.jpg?dl=0,,The YouthMappers of the University General Lansana Conté is a non profit community willing to contribute to Map Guinea and others part of the world. We are promoting the use of GIS and Open data to build decision support tools. We also work to build capacities among the students and local communities.,https://www.dropbox.com/s/lzni56jmexz4lc5/UGLC_SC.jpg?dl=0,https://www.dropbox.com/s/keos5dwc109vhqs/General%20Lansana%20Conte%20University.png?dl=0,https://dl.dropbox.com/s/keos5dwc109vhqs/General%20Lansana%20Conte%20University.png?dl=0,39,,GIN,4-West Africa
Institute of Science and Veterinary Medicine ,YouthMappers ISSMV Dalaba,"Dalaba, GUINEA",mailto:bvloua45@gmail.com,,-12.1175,10.686559,https://dl.dropbox.com/s/fmnlvozm772log2/ISSMV.jpg?dl=0,,YouthMappers ISSMV Dabala is a non profit organisation working to promote humanitarian mapping and the use of open sources and open data to build decision making tools in Guinea.,https://www.dropbox.com/s/fmnlvozm772log2/ISSMV.jpg?dl=0,,https://dl.dropbox.com/s/wtbqy0zd7xbljrn/ISSVM%20campus%20photo.jpg?dl=0,48,,GIN,4-West Africa
Université de N'Zérékoré,Youthmappers à N'Zérékoré,"N'zérékoré, GUINEA",mailto:donpaul1974@gmail.com,,-8.8371597,7.732427,https://dl.dropbox.com/s/xngkshuiudko6wu/UZguinea.jpg?dl=0,,YouthMappers est un groupe qui permet de faire la cartographie des communautés enclavées et à la prise des décisions en cas de catastrophes ou épidémies. Elle permet aussi la production et l'utilisation des données en accès gratuit.,https://www.dropbox.com/s/xngkshuiudko6wu/UZguinea.jpg?dl=0,,https://dl.dropbox.com/s/a95b9azldb8a3zt/Universit%C3%A9-de-Nz%C3%A9r%C3%A9kor%C3%A9.jpg?dl=0,49,,GIN,4-West Africa
Institut Superieur des Mines et Géologie de Boké,Youth Mappers ISMG Boké,"Boké, GUINEA",mailto:youthmappersismgboke@gmail.com,,-14.264739,10.979815,,,YouthMappers ISMG Boké is an association that contributes to free cartography and free geomatics,,,,,,GUI,4-West Africa
University of Liberia YouthMappers,University of Liberia YouthMappers,"Fendall, LIBERIA",mailto:ulym2017@gmail.com,,-10.619863,6.377068,https://dl.dropbox.com/s/1n9lcwtpuhgnw9v/University_Liberia.jpg?dl=0,,"The University of Liberia YouthMappers is a chapter organization of the Global YouthMappers. We are a nonprofit student mapping organization focus on mapping for Liberia’s development and the World at large. The purpose of this organization shall be to utilize technology and geospatial knowledge as means of creating and developing maps; collecting and analyzing data that will address local and worldwide challenges. Our aim is to support and create opportunity for students to develop interest and skills in the fields of mapping. We envision a united student community that are collaborative, active and are willing to work with the University of Liberia YouthMappers in order to better the lives of others. ",https://www.dropbox.com/s/1n9lcwtpuhgnw9v/University_Liberia.jpg?dl=0,https://www.dropbox.com/s/8bw5ae6notrwq75/University%20of%20Liberia.png?dl=0,https://dl.dropbox.com/s/8bw5ae6notrwq75/University%20of%20Liberia.png?dl=0,44,,LBR,4-West Africa
Cuttington University,Cuttington University YouthMappers,"Gbarnga, LIBERIA",mailto:youthmappers.cu@gmail.com,,-9.5539,7.0404,https://dl.dropbox.com/s/w5lip5tx0epl8zs/Cuttington%20Univerisity.jpg?dl=0,,"The YouthMappers at Cuttington University, Suakoko, and Bong County comprised of Students from three different departments; namely, the Department of Natural Resources Management “DONRM”, Department of Environmental Sciences, and the Department of Natural Sciences. Since the establishment of the Chapter in February 2017, the overall membership is  20 students, with each department containing 5 students.   ",https://www.dropbox.com/s/w5lip5tx0epl8zs/Cuttington%20Univerisity.jpg?dl=0,,https://dl.dropbox.com/s/vn2xz5p5uzkqvfu/cuttington.jpg?dl=0,47,,LBR,4-West Africa
Stella Maris Polytechnic,YouthMappers-SMP,"Monrovia, LIBERIA",mailto:youthmappers.smp@gmail.com,,-10.7944,6.29,https://dl.dropbox.com/s/x2n39h8kxdgorxe/Stella_Maris_Polytechnic_logo.jpg?dl=0,,,https://www.dropbox.com/s/x2n39h8kxdgorxe/Stella_Maris_Polytechnic_logo.jpg?dl=0,https://www.dropbox.com/s/b0fxtegpgzec5nb/stella%20maris.png?dl=0,https://dl.dropbox.com/s/b0fxtegpgzec5nb/stella%20maris.png?dl=0,45,,LBR,4-West Africa
African Methodist Episcopal University,YouthMappers-AMEU,"Monrovia, LIBERIA",mailto:youthmapper.ameu@gmail.com,,-10.80063,6.310753,https://dl.dropbox.com/s/sz4lo2y38v25dzh/African_Methodist_Episcopal_uni.jpg?dl=0,,,https://www.dropbox.com/s/sz4lo2y38v25dzh/African_Methodist_Episcopal_uni.jpg?dl=0,,https://dl.dropbox.com/s/8eed7fn4bnoj7ke/african%20methodist.jpg?dl=0,46,,LBR,4-West Africa
Nimba County Community College,Nimba County Community College Youth Mappers,"Sanniquellie, LIBERIA",mailto:ncccyouthmappers@yahoo.com,,-8.716455,7.352111,,,,,,,,,LBR,4-West Africa
Grand Gedeh County Community College,YouthMappers at Grand Gedeh County Community College,"Zwedru City, LIBERIA",mailto:yimodaxzibitallison@gmail.com,,-8.118171,6.063949,https://dl.dropbox.com/s/x4og7q3v0t4pl3k/Gran_Gedeh_county_Community_Coll.jpg?dl=0,,"The Youth Mappers of GGCCC sole intent is to put  places in and around Liberia  that are not on the map. We gather youths from the college within the Grand Gedeh Community College to make it their duties to unite and bring these places to the spot light geographically.
",https://www.dropbox.com/s/x4og7q3v0t4pl3k/Gran_Gedeh_county_Community_Coll.jpg?dl=0,https://www.dropbox.com/s/i8gajd8o73td39g/Grand%20Gedeh%20County%20Community%20College.png?dl=0,https://dl.dropbox.com/s/i8gajd8o73td39g/Grand%20Gedeh%20County%20Community%20College.png?dl=0,63,,LBR,4-West Africa
Université des Sciences Sociale et de Gestion de Bamako,Etudiant au Laboratoire HoPE,"Bamako, MALI",mailto:youthmappersfhg@gmail.com,,-7.988324,12.615356,,,,,https://www.dropbox.com/s/guywpj8l9ou5z78/USBG_Mali_GroupPhoto.png?dl=0,https://dl.dropbox.com/s/guywpj8l9ou5z78/USBG_Mali_GroupPhoto.png?dl=0,,,MAL,4-West Africa
"Federal University of Technology, Akure",YouthMappers Futa Space Club,"Akure, NIGERIA",mailto:Denironyx@gmail.com?subject=YouthMappers%20at%20FUTA%20Space%20Club%20Nigeria,http://spaceclubfuta.com.ng/,5.185546875,7.275292336,https://dl.dropbox.com/s/zv7qmmxmnlxiy4w/futa-nigeria.jpg?dl=0,,"Our mission is to raise the next generation of Space Leaders. Activities include research and capacity building in Remote Sensing, GIS, Climate Change, Astronomy, Cosmology, Space Engineering, Global Navigation, Robotics and Space Education.",https://www.dropbox.com/s/zv7qmmxmnlxiy4w/futa-nigeria.jpg?dl=0,https://www.dropbox.com/s/wil5v3syby749og/Federal%20Univ%20Technologu%20Akure.png?dl=0,https://dl.dropbox.com/s/wil5v3syby749og/Federal%20Univ%20Technologu%20Akure.png?dl=0,20,,NGA,4-West Africa
"University of Nigeria, Enugu Campus",LionMappersTeam (LMT) Enugu,"Enugu, NUGERIA",mailto:lmtenugucampus@gmail.com,https://web.facebook.com/Lionmappersteam-enugu-Campus-361221567667528/,7.503731,6.426417,,,"The LionMappersTeam(LMT)Enugu Campus is an affiliate of YouthMappers Network, with the sole aim of providing members the opportunity to learn and improve their skills in the field of Geoinformatics and to create open geographic data and analysis that addresses locally defined challenges globally. It is a team of volunteers for Crowdsourced Mapping and Geographic Information provision using Openstreetmap, Citizen Science and other Geospatial Technology for research, training and response to resilient community challenges. We are involved in Web-Cartography, GIS and Remote Sensing Applications and ResearchWe are passionate about Volunteered Geographic Information.Paticipatory GIS and Citizen Science.Our major activities include online crowdsourced-Cartography, Field Mapping ,Training workshops and outreaches to High School as well as Humanitarian/Disaster Response Mapping.",,https://www.dropbox.com/s/l7rzdwuodbof0z7/UNigeria_Enugu_GroupPhoto.jpg?dl=0,https://dl.dropbox.com/s/l7rzdwuodbof0z7/UNigeria_Enugu_GroupPhoto.jpg?dl=0,,,NGA,4-West Africa
St. Augustine International University,YouthMappers at St Augustine International University,"Kampala, UGANDA",mailto:youthmapperssaiu@gmail.com,,32.621614,0.272377,,,,,,,,,NGA,4-West Africa
"University of Nigeria, Nsukka",LionMappersTeam (LMT) Nsukka,"Nsukka, NIGERIA",mailto:lionmappersteam@gmail.com,http://fb.me/LionMappersTeamNsukka;and send messages to our Page at m.me/LionMappersTeamNsukka,7.408208,6.864635,,,"The LionMappersTeam is an affiliate of YouthMappers Network, with the sole aim of providing members the opportunity to learn and improve their skills in the field of mapping science and to create open geographic data and analysis that addresses locally defined challenges globally. It is a team of volunteers for crowdsourced mapping and geographic information provision using Openstreetmap, citizen science  and other geospatial  technology for research, training and response to resilient community challenges. We are involved in GIS and Remote Sensing Applications and Research.Paticipatory GIS and Citizen Science,field mapping ,training workshops and outreaches to High Schools.",,,,,,NGA,4-West Africa
Federal School of Surveys,OyoMappersTeam (OMT) Oyo,"Oyo, NIGERIA",mailto:oyomappersteam@gmail.com,https://web.facebook.com/Oyomappersteam-omt-oyo-1432864713415765/,3.951286,7.842206,,,,,,,,,NGA,4-West Africa
University of Port Harcourt,UniqueMappersTeam (UMT) Port Harcourt,"Port Harcourt, NIGERIA",mailto:victor.sunday@uniport.edu.ng,https://web.facebook.com/uniquemappersteamportharcourt/,6.920367,4.901752,https://dl.dropbox.com/s/8q4mx6ms3ar7b6j/univportharcourt.jpg?dl=0,,"UniqueMappersTeam(UMT)Port Harcourt  is an action group and a team of volunteers for a collaborative online mapping targeted at training and empowering members with trending mapping skills  to create open geospatial data and analysis that addresses locally defined challenges for geoinformation and to provide humanitarian mapping  services to resilient communities in Niger Delta,Nigeria and elsewhere.We promote Crowdsoucred Mapping and Geographic information volunteering using OpenStreetMap(OSM) platform and other accessible platforms for Rapid Response Mapping,Disaster Mapping,Geo-intelligence Mapping,Map updates and training.Its an affiliate Campus chapter of Humanitarian OpenStreetMap Team(HOT).It is a project-task team of YouthMappers that provide opportunity for members to learn and improve their skills in Geoinformatics so as to explore global opportunities in the field of Mapping and Geoinformation.",https://www.dropbox.com/s/8q4mx6ms3ar7b6j/univportharcourt.jpg?dl=0,https://www.dropbox.com/s/dg1nq0he1cvu89s/UnivPortHarcourt.png?dl=0,https://dl.dropbox.com/s/dg1nq0he1cvu89s/UnivPortHarcourt.png?dl=0,59,,NGA,4-West Africa
Ignatius Ajuru University of Education,IgnatiusMappersTeam (IMT),"Port Harcourt, NIGERIA",mailto:ignatiusmappersteam@gmail.com,https://fb.me/ignatiusmappersteam,6.933636,4.80653,,,We are a YouthMappers Chapter of Ignatius Ajuru University of Education involved in crowdsourced mapping of our environment and remote mapping of resilient communities.We are a team of volunteers using openstreetmap and other open Geospatial source for mapping.,,,,,,NGA,4-West Africa
Abia State University,AbsuMappersTeam,"Uturu, NIGERIA",mailto:absumappersteam@gmail.com,https://www.facebook.com/Absumappersteam-1709186109157466,7.419093,5.830818,https://dl.dropbox.com/s/7ytan5a318qpmbt/Abia_State_Uni.png?dl=0,,"AbsuMappersTeam is  voluntary team of map enthusiast ,using openstreetmap,GIS and other open source geospatial techno;ogy to solve problems.It is a dedicated for disaster response using OpenStreetMap.It is a  professional mentoring  and empowerment platform for  those with passion for GIS and Mapping.It is a community of  volunteers for geospatial data creation,field data collection and mapping.The team was co-founded by Victor N.Sunday(the Team mentor) and Professor J.U.Ogbonna ,the team coordinator and faculty Advisor. AbsuMapperTeam is an affiliate of UniiqueMappersTeam-Port Harcourt.The team stands to support sustainable development using geospatial  technology",https://www.dropbox.com/s/7ytan5a318qpmbt/Abia_State_Uni.png?dl=0,,,,,NGA,4-West Africa
Ahmadu Bello University,ABU Geomappers,"Zaria, NIGERIA",mailto:abugeomappers@gmail.com?subject=YouthMappers%20at%20Ahmadu%20Bello%20University,https://web.facebook.com/abugeomappers/,7.646484375,11.17840187,https://dl.dropbox.com/s/0uqtwdmeju2iph6/Ahmadu_Bello_Uni.jpg?dl=0,,"We are a group of Data driven Humanitarian mappers, who are dedicated to rendering humanitarian service in response to disaster and mitigation. We are glad to contribute our expertise and knowledge through mapping, and helping to spread #OpenEvangelism through Training, and collaboration.",https://www.dropbox.com/s/0uqtwdmeju2iph6/Ahmadu_Bello_Uni.jpg?dl=0,https://www.dropbox.com/s/qz0yhq7oef46df0/Ahmadu%20Bello%20University_Nigeria.png?dl=0,https://dl.dropbox.com/s/qz0yhq7oef46df0/Ahmadu%20Bello%20University_Nigeria.png?dl=0,18,,NGA,4-West Africa
